## Comments in this file must be preceded by double number-sign (#)
## Roster codes must be preceded by single number-sign (#)
## tabs and >> are reserved characters/sequences for splitting and marking individual lines
## when multiple roster codes apply, they must be separated by semi-colon, ex.: B10;A21
## PART 1: constituents abbreviations
## PART 2: other abbreviations - these are roster code AND constituent sensitive, in the sense that the same abbreviations may be resolved in different ways depending on the roster codes and/or constituents associated to them.


## PART1: constituents abbreviations
#constituents
-INC	incidentals
--i	introduction
-ae	aerial photography
-cy	city scenes
-dy	daily
-eh	expedition house
-el	expedition life
-eq	equipment
-fl	file log
-fn	fauna
-fr	flora
-hl	health and medical
-id	individuals
-iv	inventory
-lb	labeling
-lg	log
-ls	landscape
-mk	marker
-mt	methods and techniques
-nm	name, address, references
-ns	notes on time sequencing
-ny	next year
-oa	official activities
-ov	overall shot
-pc	people and customs
-ph	phase
-pr	public relations (excludes visitors)
-pw	public works
-rc	recording
-rd	roster definition
-rs	record shot
-sf	staff
-sg	strategy
-sn	section
-so	site overall
-sp	special project
-sr	strata description
-st	storage
-su	summary
-sy	surveying
-tr	transmittal
-tv	travel
-vb	village buildings
-vg	village, general
-vr	varia
-vs	visits and visitors
-wa	work activities
-we	weather
-wk	workmen
-zx	site general, excavations
^	specific labels
a	aggregates
b	assemblages
c	composites
e	traces
f	features
g	graphics
h	phases
i	items
k	loci
j	joins
m	markers
p	plots
r	relays
s	strata
qi	q-items
qp	pottery
qb	bones
q	q lots
n	negatives
t	templates
v	view photos
w	view drawings
y	drawing schematics
z	zeros
## END OF PART 1

## PART2: other abbreviations
>>a;f;^
#BA1;B10;A20;A21;C20
a	accumulation 
aa	accumulation A 
ab	accumulation B 
ac	accumulation C 
ad	accumulation D 
ash	ash
b	burial
ba	band
be	bench
bf	brickfall 	
bk	brick
bm	brickmelt
bp	brick pile 	
bu	burial 	
co	collapse 	
cr	corridor
d	doorway
f	floorsurface in general
f1	fill in primary context 	
f2	fill in secondary context 	
fa	floor, type a 	
fb	floor, type b 	
fc	floor, type c 	
fd	floor, type d 	
fi	fill 	
gv	grave 	
he	hearth
ho	hole
hs	house
is	installation 	
ki	kiln
l	lens 	
la	lens type a 	
lb	lens type b 	
lc	lens type c 	
ld	lens type d 	
lm	laminations 	
ly	layer 	
mx	mixed features
mix	mixed features
pa	pavement, type a 	
pb	pavement, type b 	
pc	pavement, type c 	
pf	platform
pt	pit
pv	pavement 	
r	room
rf	roofing material
rh	rodent hole
s	structure
sf	subfloor 	
so	soil
st	isolated stone
st-is	stone installation 	
ta	tannur 	
tr	trench, trough
ts	topsoil
uc	uncertain
uk	unknown
vm	volumetrically defined layer
vr	various
w	wall


>>b;c;e;i;qi;qp;j;n;z
#BA1;B10;A20;A21;C20
ar	arrowhead
awl	awl
ax	ax(head)
b	bowl
ba	bone artifact
baf	bone artifact
bd	bead
bd-c	bead (clay)
be	bench
bk	brick
bl	blade
bn	bin
bo	bowl 	
board	board 	
bp	brick pile 	
bt	bottle 	
c	cup
ca	clay artifact
caf	clay artifact
cb	carbon
cl	clay lump (and possible tablet)
cs	carbon
cv	ceramic vessel
d	stand
db	debitage
di	dish (small platter)
ds	door socket
e	epigraphic 	
fg	figurine
ga	glass artifact
gaf	glass artifact
gl	glass
go	goblet 	
gr	grinding stone
gs	grinding stone
h	jar shoulder
hb	human body 	
ia	item aggregate 	
in	inlays 	
j	jar
ja	jar 	
je	jewelry item
k	worked disk
kw	kiln waste 	
kwr	kiln waster 	
l	plate
la	lithic artifact
laf	lithic artifact
ls	lithic specimen 	
ma	metal artifact
mace	mace
maf	metal artifact
mud	mud 	
o	other
or	organic refuse or midden 	
ov	oven
p	pot
peg	peg
pi	pin
pl	platter 	
po	pot
pol	polishing stone 	
qb	bone lot
qp	pottery lot
rf	roofing material 	
ro	root
s	strainer
sa	sample
saf	shell artifact
sb	sling ball
sc	sculpture
se	seal
sg	slag (from metal smelting)
sh	shell
si	seal impression 	
sl	sealing 	
sm	sample 	
so	soil
sp	specimen 	
spd	spearhead
spoon	spoon
str	strainer
string	string
su	statue
t	tablet 	
ta	tannur
ta-o	tannur 	
to	tool
uc	uncertain
uk	unknown
v	other vessel
var	various
vr	various
vs	vessel
w	bowl carination
wa	wood artifact
waf	wood artifact
wd	wood
we	weapon
wh	wheel


## the aggregate definition is a delicate matter. Note for aggregates w = wall, not bowl carination
>>a
#BA1;B10;A20;A21;C20
ar	arrowhead
awl	awl
ax	ax(head)
b	bowl
ba	bone artifact
baf	bone artifact
bd	bead
bd-c	bead (clay)
be	bench
bk	brick
bl	blade
bn	bin
bo	bowl 	
board	board 	
bp	brick pile 	
bt	bottle 	
c	cup
ca	clay artifact
caf	clay artifact
cb	carbon
cl	clay lump (and possible tablet)
cs	carbon
cv	ceramic vessel
d	stand
db	debitage
di	dish (small platter)
ds	door socket
e	epigraphic 	
fg	figurine
ga	glass artifact
gaf	glass artifact
gl	glass
go	goblet 	
gr	grinding stone
gs	grinding stone
h	jar shoulder
hb	human body 	
ia	item aggregate 	
in	inlays 	
j	jar
ja	jar 	
je	jewelry item
k	worked disk
kw	kiln waste 	
kwr	kiln waster 	
l	plate
la	lithic artifact
laf	lithic artifact
ls	lithic specimen 	
ma	metal artifact
mace	mace
maf	metal artifact
mud	mud 	
o	other
or	organic refuse or midden 	
ov	oven
